epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2618.15,1.5168,1.53428,1.6337,0.45929,0.407,0.33973,0.1307,2.11774,2.04463,2.07207,0.000164251,0.000164251,0.000164251
123,2638.78,1.51287,1.53888,1.62546,0.49026,0.3733,0.33739,0.12571,2.12638,2.07078,2.07933,0.000154538,0.000154538,0.000154538
124,2660.9,1.50504,1.55102,1.62307,0.4438,0.39639,0.33687,0.12513,2.13446,2.06116,2.09441,0.000145125,0.000145125,0.000145125
125,2681.19,1.50052,1.51285,1.61547,0.43493,0.39265,0.3392,0.12833,2.1327,2.05285,2.09645,0.000136018,0.000136018,0.000136018
126,2702.89,1.50009,1.53237,1.61393,0.4755,0.3639,0.33477,0.12427,2.15082,2.05824,2.10305,0.000127221,0.000127221,0.000127221
127,2724,1.49835,1.52465,1.63077,0.43466,0.38544,0.33926,0.13088,2.11424,2.04959,2.07769,0.000118737,0.000118737,0.000118737
128,2744.71,1.51091,1.51677,1.61142,0.39714,0.41253,0.32704,0.1213,2.13623,2.08515,2.09817,0.000110571,0.000110571,0.000110571
129,2766.5,1.51081,1.52256,1.6286,0.44555,0.38418,0.33496,0.12319,2.16446,2.06572,2.1182,0.000102725,0.000102725,0.000102725
130,2786.77,1.50261,1.47287,1.61417,0.47481,0.3669,0.34196,0.12509,2.16065,2.04853,2.10797,9.52034e-05,9.52034e-05,9.52034e-05
131,2808.99,1.50372,1.49507,1.62224,0.45331,0.3823,0.3436,0.12556,2.15637,2.06484,2.10614,8.80093e-05,8.80093e-05,8.80093e-05
132,2829.64,1.48876,1.48958,1.59152,0.45922,0.38434,0.34173,0.12378,2.15282,2.06266,2.10116,8.11458e-05,8.11458e-05,8.11458e-05
133,2851.14,1.49739,1.48145,1.60559,0.50014,0.36497,0.337,0.12347,2.15095,2.06494,2.10752,7.4616e-05,7.4616e-05,7.4616e-05
134,2873.88,1.50799,1.49932,1.61846,0.51722,0.36042,0.33703,0.12343,2.15707,2.06048,2.12015,6.84227e-05,6.84227e-05,6.84227e-05
135,2894.44,1.49889,1.50416,1.62448,0.45774,0.39394,0.33701,0.12166,2.15294,2.04622,2.10922,6.25687e-05,6.25687e-05,6.25687e-05
136,2916.59,1.5029,1.48522,1.60815,0.46221,0.39164,0.33319,0.12285,2.14058,2.05018,2.09962,5.70564e-05,5.70564e-05,5.70564e-05
137,2937.44,1.51844,1.49229,1.63379,0.46455,0.37596,0.33309,0.12263,2.1472,2.06012,2.10874,5.18885e-05,5.18885e-05,5.18885e-05
138,2958.83,1.49905,1.46766,1.5968,0.45799,0.38318,0.33516,0.12331,2.13847,2.06278,2.09984,4.7067e-05,4.7067e-05,4.7067e-05
139,2980.24,1.47469,1.46326,1.59566,0.47537,0.37634,0.3343,0.12399,2.14416,2.06521,2.09949,4.25941e-05,4.25941e-05,4.25941e-05
140,3000.69,1.51091,1.50193,1.61893,0.47784,0.36659,0.33249,0.12386,2.14636,2.05976,2.09744,3.84718e-05,3.84718e-05,3.84718e-05
141,3024.25,1.41251,1.38037,1.5619,0.45286,0.38112,0.3226,0.12019,2.13607,2.13387,2.08341,3.47018e-05,3.47018e-05,3.47018e-05
142,3043.6,1.40092,1.31454,1.55647,0.46752,0.383,0.32439,0.11703,2.13209,2.1149,2.08179,3.12859e-05,3.12859e-05,3.12859e-05
143,3062.74,1.40068,1.27774,1.54528,0.46174,0.39023,0.32812,0.12136,2.1207,2.09503,2.07501,2.82256e-05,2.82256e-05,2.82256e-05
144,3083.72,1.41454,1.2744,1.55636,0.48977,0.37863,0.33314,0.12338,2.12434,2.09082,2.08397,2.55221e-05,2.55221e-05,2.55221e-05
145,3102.87,1.39262,1.26067,1.5404,0.45085,0.40159,0.3341,0.12316,2.13083,2.0879,2.09239,2.31767e-05,2.31767e-05,2.31767e-05
146,3121.93,1.41301,1.24754,1.5479,0.46297,0.39595,0.33824,0.12773,2.12415,2.07099,2.08145,2.11903e-05,2.11903e-05,2.11903e-05
147,3142.45,1.38075,1.2376,1.54043,0.48034,0.38577,0.33849,0.12664,2.12791,2.07027,2.09016,1.9564e-05,1.9564e-05,1.9564e-05
148,3161.99,1.37578,1.20708,1.537,0.47911,0.39291,0.33782,0.12819,2.12884,2.06518,2.09061,1.82983e-05,1.82983e-05,1.82983e-05
149,3180.99,1.39091,1.22038,1.53935,0.48488,0.38009,0.33908,0.12679,2.12914,2.06531,2.09321,1.73938e-05,1.73938e-05,1.73938e-05
150,3200.76,1.37214,1.20263,1.52522,0.47033,0.39457,0.33838,0.12719,2.12753,2.06875,2.09253,1.6851e-05,1.6851e-05,1.6851e-05
